sn,,stock_name,stock_symbol,sector,operations
1,Logo Unavailable,10 % NMB DEBENTURE 2085,NMBD2085,Corporate Debenture,View
2,Logo Unavailable,10% Himalayan Bank Debenture 2083,HBLD83,Corporate Debenture,View
3,Logo Unavailable,10% Laxmi Bank Debenture 2086,LBLD86,Corporate Debenture,View
4,Logo Unavailable,10% Nabil Debenture 2082,NBLD82,Corporate Debenture,View
5,Logo Unavailable,10% Nepal SBI Bank Debenture 2086,SBIBD86,Corporate Debenture,View
6,Logo Unavailable,10% NIC Asia Debenture 2085/86,NICAD 85/86,Corporate Debenture,View
7,Logo Unavailable,10% Prabhu Bank Debenture 2084,PBLD84,Corporate Debenture,View
8,Logo Unavailable,10% Sanima Bank Limited Debenture,SAND2085,Corporate Debenture,View
9,Logo Unavailable,10% Sunrise Debenture 2080,SRD80,Corporate Debenture,View
10,Logo Unavailable,10.25% Citizens Bank Debenture 2086,CIZBD86,Corporate Debenture,View
11,Logo Unavailable,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,Corporate Debenture,View
12,Logo Unavailable,10.25% KBL Debenture 2086,KBLD86,Corporate Debenture,View
13,Logo Unavailable,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,Corporate Debenture,View
14,Logo Unavailable,10.25% NBBL Debenture 2085,NBBD2085,Corporate Debenture,View
15,Logo Unavailable,10.25% NIC Asia Debenture 2083/84,NICD83/84,Corporate Debenture,View
16,Logo Unavailable,10.25% Prabhu Bank  Debenture 2086,PBLD86,Corporate Debenture,View
17,Logo Unavailable,10.25% SBL Debenture 2083,SBLD83,Corporate Debenture,View
18,Logo Unavailable,10.25% Sunrise Bank Debenture 2083,SRBLD83,Corporate Debenture,View
19,Logo Unavailable,10.35% Agricultural Bank Debenture 2083,ADBLD83,Corporate Debenture,View
20,Logo Unavailable,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,Corporate Debenture,View
21,Logo Unavailable,10.50% SBL Debenture 2082,SBLD2082,Corporate Debenture,View
22,Logo Unavailable,11% NIC Asia Debenture 082/83,NICAD8283,Corporate Debenture,View
23,Logo Unavailable,12 % Goodwill Finance Limited Debenture 2083,GWFD83,Corporate Debenture,View
24,Logo Unavailable,12% ICFC Finance Limited Debenture 2083,ICFCD83,Corporate Debenture,View
25,Logo Unavailable,8% BOK Debenture 2079,BOKD2079,Corporate Debenture,View
26,Logo Unavailable,8% EBL Debenture 2078,EBLD2078,Corporate Debenture,View
27,Logo Unavailable,8.5% Nepal Investment Bank Debenture 2084,NIBD84,Corporate Debenture,View
28,Logo Unavailable,8.5% Sanima Debenture 2087,SBD87,Corporate Debenture,View
29,Logo Unavailable,8.5% SBL Debenture 2084,SBLD84,Corporate Debenture,View
30,Logo Unavailable,9% Kamana Sewa Bikas Bank Limited Debenture 2087,KSBBLD87,Corporate Debenture,View
31,Logo Unavailable,9% NIC Asia Debenture 2081/82,NICAD8182,Corporate Debenture,View
32,Logo Unavailable,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,Corporate Debenture,View
33,Logo Unavailable,9.5% NCC Debenture 2086,NCCD86,Corporate Debenture,View
34,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance,View
35,Logo Unavailable,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,AKBSL,Microfinance,View
36,,Agriculture Development Bank Limited,ADBL,Commercial Banks,View
37,,Ajod Insurance Limited,AIL,Non Life Insurance,View
38,,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power,View
39,Logo Unavailable,Api Power Company Ltd.,API,Hydro Power,View
40,,Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Microfinance,View
41,,Arun Kabeli Power Ltd.,AKPL,Hydro Power,View
42,Logo Unavailable,Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro Power,View
43,Logo Unavailable,Arun Vanaspati Udhyog Limited,AVU,Manufacturing And Processing,View
44,Logo Unavailable,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance,View
45,Logo Unavailable,Asian Life Insurance Co. Limited,ALICL,Life Insurance,View
46,,Bank of Kathmandu Ltd.,BOKL,Commercial Banks,View
47,,Barun Hydropower Co. Ltd.,BARUN,Hydro Power,View
48,Logo Unavailable,Best Finance Company Ltd.,BFC,Finance,View
49,,Bhargav Bikash Bank Ltd.,BHBL,Development Banks,View
50,Logo Unavailable,Birat Shoe Limited,BSL,Manufacturing And Processing,View
51,,Bishal Bazar Company Limited,BBC,Tradings,View
52,Logo Unavailable,Bottlers Nepal (Balaju) Limited,BNL,Manufacturing And Processing,View
53,Logo Unavailable,Bottlers Nepal (Terai) Limited,BNT,Manufacturing And Processing,View
54,Logo Unavailable,Butwal Power Company Limited,BPCL,Hydro Power,View
55,Logo Unavailable,Butwal Spinning Mills Limited,BSM,Manufacturing And Processing,View
56,Logo Unavailable,Capital Merchant Bank & Finance Co. Ltd.,CMB,Finance,View
57,Logo Unavailable,CEDB Hydropower Development Company Limited,CHDC,Investment,View
58,Logo Unavailable,Central Finance Co. Ltd.,CFCL,Finance,View
59,Logo Unavailable,Century Commercial Bank Ltd.,CCBL,Commercial Banks,View
60,Logo Unavailable,Chandragiri Hills Limited,CGH,Hotels,View
61,,Chhimek Laghubitta Bikas Bank Limited,CBBL,Microfinance,View
62,Logo Unavailable,Chhyangdi Hydropower Ltd.,CHL,Hydro Power,View
63,,Chilime Hydropower Company Limited,CHCL,Hydro Power,View
64,,Citizen Bank International Limited,CZBIL,Commercial Banks,View
65,,Citizen Investment Trust,CIT,Investment,View
66,Logo Unavailable,Citizens Mutual Fund -1,CMF1,Mutual Fund,View
67,Logo Unavailable,CITIZENS MUTUAL FUND 2,CMF2,Mutual Fund,View
68,Logo Unavailable,City Express Finance Co. Limited,CEFL,Finance,View
69,,Civil Bank Ltd,CBL,Commercial Banks,View
70,,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Microfinance,View
71,Logo Unavailable,Corporate Development Bank Limited,CORBL,Development Banks,View
72,Logo Unavailable,Crystal Finance Ltd.,CFL,Finance,View
73,Logo Unavailable,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Microfinance,View
74,Logo Unavailable,Dibyashwori Hydropower Ltd.,DHPL,Hydro Power,View
75,Logo Unavailable,Everest Bank Limited,EBL,Commercial Banks,View
76,Logo Unavailable,Everest Bank Limited Con. Pref.,EBLCP,Preferred Stock,View
77,,Everest Insurance Co. Ltd.,EIC,Non Life Insurance,View
78,Logo Unavailable,Excel Development Bank Ltd.,EDBL,Development Banks,View
79,,First Micro Finance Development Bank Ltd.,FMDBL,Microfinance,View
80,Logo Unavailable,Fleur Himalayan Limited,FHL,Manufacturing And Processing,View
81,Logo Unavailable,Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,Microfinance,View
82,,Ganapati Microfinance Bittiya Sanstha Limited,GMFBS,Microfinance,View
83,,Gandaki Bikas Bank Limited,GDBL,Development Banks,View
84,,Garima Bikas Bank Limited,GBBL,Development Banks,View
85,Logo Unavailable,General Insurance Company Nepal Ltd,GIC,Non Life Insurance,View
86,Logo Unavailable,Ghalemdi Hydro Limited,GHL,Hydro Power,View
87,Logo Unavailable,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,GGBSL,Microfinance,View
88,Logo Unavailable,Global IME Bank Limited,GBIME,Commercial Banks,View
89,Logo Unavailable,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Microfinance,View
90,Logo Unavailable,Global IME Samunnat Scheme-1,GIMES1,Mutual Fund,View
91,,Goodwill Finance Co. Ltd.,GFCL,Finance,View
92,Logo Unavailable,Gorakhkali Rubber Udhyog Limited,GRU,Manufacturing And Processing,View
93,,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Microfinance,View
94,,Green Development Bank Ltd.,GRDBL,Development Banks,View
95,Logo Unavailable,GreenLife Hydropower Limited,GLH,Hydro Power,View
96,,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Finance,View
97,,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Microfinance,View
98,,Gurans Life Insurance Company Ltd.,GLICL,Life Insurance,View
99,,Gurkhas Finance Ltd.,GUFL,Finance,View
100,Logo Unavailable,Hamro Bikas Bank Ltd.,HAMRO,Development Banks,View
101,Logo Unavailable,Harisiddhi Brick And Tiles Limited,HBT,Manufacturing And Processing,View
102,,Hathway Finance Company Limited,HATH,Finance,View
103,Logo Unavailable,Himal Dolakha Hydropower Company Limited,HDHPC,Hydro Power,View
104,Logo Unavailable,Himalaya Urja Bikas Company Limited,HURJA,Hydro Power,View
105,Logo Unavailable,Himalayan Bank Limited,HBL,Commercial Banks,View
106,Logo Unavailable,Himalayan Distillery Limited,HDL,Manufacturing And Processing,View
107,Logo Unavailable,Himalayan Finance Limited (Bittiya Sanstha),HFL,Finance,View
108,Logo Unavailable,Himalayan General Insurance Co. Ltd,HGI,Non Life Insurance,View
109,,Himalayan Power Partner Ltd.,HPPL,Hydro Power,View
110,,Hydorelectricity Investment and Development Company Ltd,HIDCL,Investment,View
111,,ICFC Finance Limited,ICFC,Finance,View
112,Logo Unavailable,IME General Insurance Ltd.,IGI,Non Life Insurance,View
113,,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Microfinance,View
114,Logo Unavailable,Janaki Finance Ltd.,JFL,Finance,View
115,,Janata Bank Nepal Ltd.,JBNL,Commercial Banks,View
116,Logo Unavailable,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,Microfinance,View
117,Logo Unavailable,Joshi Hydropower Development Company Ltd,JOSHI,Hydro Power,View
118,,Jyoti Bikas Bank Limited,JBBL,Development Banks,View
119,,Jyoti Life Insurance Ltd,JLI,Life Insurance,View
120,Logo Unavailable,Jyoti Sinning Mills Limited,JSM,Manufacturing And Processing,View
121,Logo Unavailable,Kalika Microcredit Development Bank Ltd.,KMCDB,Microfinance,View
122,Logo Unavailable,Kalika power Company Ltd,KPCL,Hydro Power,View
123,,Kamana Sewa Bikas Bank Limited,KSBBL,Development Banks,View
124,,Kankai Bikas Bank Ltd.,KNBL,Development Banks,View
125,Logo Unavailable,Karnali Development Bank Limited,KRBL,Development Banks,View
126,Logo Unavailable,Khanikhola Hydropower Co. Ltd.,KKHC,Hydro Power,View
127,,Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Microfinance,View
128,,Kumari Bank Limited,KBL,Commercial Banks,View
129,Logo Unavailable,Kumari Equity Fund,KEF,Mutual Fund,View
130,Logo Unavailable,Lalitpur Finance Ltd.,LFC,Finance,View
131,Logo Unavailable,Laxmi Bank Limited,LBL,Commercial Banks,View
132,Logo Unavailable,Laxmi Equity Fund,LEMF,Mutual Fund,View
133,,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Microfinance,View
